City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Gazojak,TM,2020-04-04 15:21:08,41.19,61.4,68.04,40,91,11.03
70,Port Elizabeth,ZA,2020-04-04 15:21:08,-33.92,25.57,80.6,51,1,8.05
71,Husavik,IS,2020-04-04 15:21:08,66.04,-17.34,21.2,79,75,39.15
72,Aksu,CN,2020-04-04 15:21:09,41.12,80.26,59.54,21,40,4.79
73,Torbay,CA,2020-04-04 15:21:09,47.67,-52.73,35.01,92,90,13.87
74,Noyabrsk,RU,2020-04-04 15:21:09,63.2,75.45,34.88,84,45,23.44
75,Balkanabat,TM,2020-04-04 15:21:10,39.51,54.37,69.35,40,100,4.65
76,Victoria,HK,2020-04-04 15:18:40,22.29,114.16,70.0,94,40,9.17
77,Rabo De Peixe,PT,2020-04-04 15:21:10,37.8,-25.58,62.6,77,20,27.51
78,Codrington,AU,2020-04-04 15:21:11,-38.27,141.97,53.62,73,71,24.92
79,Dikson,RU,2020-04-04 15:21:11,73.51,80.55,2.71,94,0,9.55
80,North Myrtle Beach,US,2020-04-04 15:21:12,33.82,-78.68,68.0,39,1,3.36
81,Pontes E Lacerda,BR,2020-04-04 15:21:12,-15.23,-59.34,84.92,62,42,3.4
82,Punta Arenas,CL,2020-04-04 15:21:13,-53.15,-70.92,42.8,93,90,12.75
83,Pangnirtung,CA,2020-04-04 15:21:13,66.15,-65.71,-2.2,64,20,11.41
84,Danane,CI,2020-04-04 15:21:14,7.26,-8.15,96.94,34,37,2.24
85,Brae,GB,2020-04-04 15:21:14,60.4,-1.35,46.4,87,100,17.22
86,Bloemhof,ZA,2020-04-04 15:21:15,-27.65,25.61,72.45,29,67,7.02
87,El Mochito,HN,2020-04-04 15:21:15,14.87,-88.08,84.2,62,20,4.7
88,Shambu,ET,2020-04-04 15:21:16,9.57,37.1,71.22,22,53,2.82
89,San Carlos Del Zulia,VE,2020-04-04 15:21:16,9.0,-71.91,87.19,65,22,3.11
90,Skagen,DK,2020-04-04 15:21:17,57.72,10.58,44.01,79,98,8.01
91,Tasiilaq,GL,2020-04-04 15:21:17,65.61,-37.64,19.4,44,40,23.04
92,San Rafael,AR,2020-04-04 15:21:17,-34.62,-68.33,71.71,28,0,14.56
93,Cape Town,ZA,2020-04-04 15:19:47,-33.93,18.42,73.99,72,100,6.93
94,Odweyne,SO,2020-04-04 15:21:18,9.41,45.06,84.9,18,99,11.61
95,Robertsport,LR,2020-04-04 15:16:56,6.75,-11.37,85.44,70,74,6.51
96,Sabla,NG,2020-04-04 15:21:19,12.75,4.71,108.82,9,78,4.81
97,Japura,ID,2020-04-04 15:21:20,-0.32,102.35,76.86,95,80,2.53
98,Cotui,DO,2020-04-04 15:21:20,19.05,-70.15,87.8,88,75,4.88
99,Cabedelo,BR,2020-04-04 15:21:21,-6.98,-34.83,87.8,74,75,12.75
100,Zaysan,KZ,2020-04-04 15:21:21,47.47,84.87,48.51,38,100,1.77
101,Lagoa,PT,2020-04-04 15:21:21,39.05,-27.98,59.54,76,62,27.0
102,Vardo,NO,2020-04-04 15:21:22,70.37,31.11,26.6,68,40,21.92
103,Hambantota,LK,2020-04-04 15:21:22,6.12,81.12,82.4,88,20,1.12
104,Jumla,NP,2020-04-04 15:21:22,29.27,82.18,43.84,23,18,0.85
105,Doha,QA,2020-04-04 15:20:44,25.29,51.53,86.0,69,92,13.87
106,Nizwa,OM,2020-04-04 15:21:23,22.93,57.53,90.7,16,82,6.17
107,Virginia Beach,US,2020-04-04 15:08:12,36.85,-75.98,57.99,66,90,12.75
108,Ilhabela,BR,2020-04-04 15:21:24,-23.78,-45.36,77.76,58,4,6.98
109,Syracuse,IT,2020-04-04 15:21:24,37.09,15.28,64.4,55,40,13.87
110,Saint George,US,2020-04-04 15:21:25,37.1,-113.58,50.0,52,1,2.01
111,Port Shepstone,ZA,2020-04-04 15:21:25,-30.74,30.45,77.76,65,96,12.1
112,Muros,ES,2020-04-04 15:21:26,42.78,-9.06,69.01,42,100,14.99
113,Srivardhan,IN,2020-04-04 15:21:26,18.03,73.02,78.62,79,2,6.17
114,Nushki,PK,2020-04-04 15:21:27,29.55,66.02,74.71,24,26,5.97
115,Pisco,PE,2020-04-04 15:21:27,-13.7,-76.22,72.0,30,90,9.17
116,Pasni,PK,2020-04-04 15:21:27,25.26,63.47,81.09,54,0,18.77
117,Birao,CF,2020-04-04 15:21:28,10.28,22.79,106.79,6,98,8.46
118,Ilulissat,GL,2020-04-04 15:21:28,69.22,-51.1,8.6,60,5,19.46
119,Chateaudun,FR,2020-04-04 15:21:29,48.08,1.33,64.4,33,0,12.75
120,Coquimbo,CL,2020-04-04 15:21:29,-29.95,-71.34,60.8,82,90,5.82
121,Rijssen,NL,2020-04-04 15:21:30,52.31,6.52,60.01,33,0,10.29
122,Rio Grande,BR,2020-04-04 15:20:42,-32.03,-52.1,75.2,50,0,5.82
123,Oistins,BB,2020-04-04 15:18:52,13.07,-59.53,86.0,66,40,16.11
124,Saint-Pierre,RE,2020-04-04 15:21:31,-21.34,55.48,78.8,78,75,11.41
125,San Juan,AR,2020-04-04 15:17:00,-31.54,-68.54,74.73,29,0,18.3
126,Mungwi,ZM,2020-04-04 15:21:32,-10.17,31.37,71.47,51,47,3.71
127,Marzuq,YE,2020-04-04 15:21:33,14.4,46.47,80.89,23,3,12.44
128,Kabinda,CD,2020-04-04 15:21:33,-6.13,24.48,79.25,61,84,3.91
129,Berlevag,NO,2020-04-04 15:21:34,70.86,29.09,28.31,92,100,34.27
130,Sao Filipe,CV,2020-04-04 15:21:34,14.9,-24.5,75.47,72,0,18.77
131,Port-Gentil,GA,2020-04-04 15:21:34,-0.72,8.78,84.2,70,40,6.93
132,Sulina,RO,2020-04-04 15:21:35,45.16,29.65,52.21,53,100,8.16
133,Qeshm,IR,2020-04-04 15:21:35,26.96,56.27,80.6,65,0,4.7
134,Cockburn Town,TC,2020-04-04 15:21:14,21.46,-71.14,74.46,60,7,6.58
135,Cocachacra,PE,2020-04-04 15:21:36,-17.09,-71.76,77.58,55,92,4.99
136,Steinau,DE,2020-04-04 15:21:36,53.68,8.88,57.99,43,40,9.17
137,Chester,US,2020-04-04 15:21:37,40.13,-75.87,53.01,76,90,3.36
138,Bethanien,NA,2020-04-04 15:21:37,-26.5,17.16,92.16,8,0,8.5
139,Riyadh,SA,2020-04-04 15:21:19,24.69,46.72,87.8,15,40,11.41
140,Nanortalik,GL,2020-04-04 15:21:38,60.14,-45.24,29.17,91,100,13.29
141,Clyde River,CA,2020-04-04 15:21:38,70.47,-68.59,8.6,71,5,26.4
142,Goderich,CA,2020-04-04 15:19:19,43.75,-81.72,51.01,75,7,4.76
143,Aasiaat,GL,2020-04-04 15:21:39,68.71,-52.87,13.03,81,0,27.65
144,Ostrovnoy,RU,2020-04-04 15:21:39,68.05,39.51,24.03,93,90,19.86
145,Beloha,MG,2020-04-04 15:21:40,-25.17,45.05,71.62,71,41,17.78
146,Karakol,KG,2020-04-04 15:21:34,42.49,78.39,42.31,30,0,6.38
147,Nortelandia,BR,2020-04-04 15:21:41,-14.45,-56.8,86.61,64,73,1.92
148,Beni,CD,2020-04-04 15:21:41,0.5,29.47,79.83,48,100,0.34
149,Benghazi,LY,2020-04-04 15:21:41,32.12,20.07,63.52,76,26,26.11
150,Bar Harbor,US,2020-04-04 15:21:42,44.39,-68.2,45.0,74,90,14.99
151,Bathsheba,BB,2020-04-04 15:21:42,13.22,-59.52,86.0,66,40,16.11
152,Faya,SA,2020-04-04 15:21:42,18.39,42.45,73.4,60,40,8.05
153,Qaqortoq,GL,2020-04-04 15:21:43,60.72,-46.03,32.0,92,75,9.17
154,San Carlos De Bariloche,AR,2020-04-04 15:21:43,-41.15,-71.31,51.8,32,2,8.05
155,Sande,DE,2020-04-04 15:21:44,53.5,8.01,57.99,57,4,9.17
156,Turukhansk,RU,2020-04-04 15:21:44,65.82,87.98,34.29,89,100,17.27
157,Entre Rios,BR,2020-04-04 15:21:44,-11.94,-38.08,96.87,37,53,3.96
158,Athens,GR,2020-04-04 15:19:53,37.98,23.72,57.99,76,75,16.11
159,Umm Lajj,SA,2020-04-04 15:21:45,25.02,37.27,83.39,31,0,6.17
160,Ambilobe,MG,2020-04-04 15:21:45,-13.2,49.05,77.7,79,6,1.39
161,Lansdale,US,2020-04-04 15:18:33,40.24,-75.28,53.01,81,90,10.29
162,Biltine,TD,2020-04-04 15:21:46,14.53,20.92,105.62,6,100,13.13
163,Ponta Do Sol,PT,2020-04-04 15:21:46,32.67,-17.1,69.8,73,20,23.04
164,Bafata,GW,2020-04-04 15:21:47,12.17,-14.75,108.48,13,1,7.05
165,Kulu,TR,2020-04-04 15:21:47,39.1,33.08,55.71,36,100,4.79
166,Tigre,AR,2020-04-04 15:21:48,-34.43,-58.58,73.0,56,0,11.41
167,Harper,LR,2020-04-04 15:21:48,4.38,-7.72,86.72,68,31,6.08
168,Great Yarmouth,GB,2020-04-04 15:19:05,52.61,1.73,60.01,44,20,13.87
169,Englewood,US,2020-04-04 15:17:52,39.65,-104.99,39.99,51,20,3.36
170,Jacareacanga,BR,2020-04-04 15:21:50,-6.22,-57.75,88.3,59,92,4.81
171,Korla,CN,2020-04-04 15:21:51,41.76,86.15,56.3,25,43,3.18
172,Lebu,CL,2020-04-04 15:21:51,-37.62,-73.65,61.05,41,2,18.28
173,Honningsvag,NO,2020-04-04 15:21:51,70.98,25.97,29.66,86,1,28.34
174,Erzincan,TR,2020-04-04 15:21:52,39.75,39.5,57.2,35,40,11.41
