,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Hambantota,LK,86.0,few clouds,6.12,81.12,Bungalow 63
385,Cabo Rojo,PR,82.0,clear sky,18.09,-67.15,Hotel Perichi's
391,Tamasane,BW,87.8,few clouds,-22.42,27.4,
393,Dhupgari,IN,86.88,clear sky,26.59,89.01,Biva Lodge
399,Saint-Joseph,RE,82.4,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
400,Dovers,VC,80.6,broken clouds,12.88,-61.18,Ocean Breeze
403,Port-Gentil,GA,89.6,few clouds,-0.72,8.78,Fengshui Residence
405,Itaituba,BR,89.6,few clouds,-4.28,-55.98,Hotel Campos
406,Cururupu,BR,81.16,moderate rain,-1.83,-44.87,Pousada Través'cia
412,Chabahar,IR,87.55,broken clouds,25.29,60.64,هتل گدروشیا
418,Morondava,MG,83.66,light rain,-20.28,44.28,La Case Bambou
421,Elat,IL,87.8,scattered clouds,29.56,34.95,מלון נובה לייק - Nova Like Hotel
428,Kigoma,TZ,84.2,thunderstorm,-4.88,29.63,Kigoma Hilltop Hotel
430,Oranjestad,AW,82.4,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
433,Tuntum,BR,82.96,broken clouds,-5.26,-44.65,MG Hotel
439,Kawambwa,ZM,81.75,few clouds,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
443,Panvel,IN,87.8,clear sky,18.98,73.1,OYO Rooms Panvel Near Civil Court
446,Lethem,GY,81.72,light rain,3.38,-59.8,Savannah Inn
447,Boa Vista,BR,82.4,broken clouds,2.82,-60.67,Aipana Plaza Hotel
454,Busayra,JO,81.25,overcast clouds,30.74,35.61,Matan Eco Villege
457,Kang,BW,83.62,clear sky,-23.68,22.79,Kang Ultra Stop
459,Indiaroba,BR,87.82,scattered clouds,-11.52,-37.51,Igreja de Jesus Cristo
461,Inhambane,MZ,86.0,scattered clouds,-23.86,35.38,MHL Turismo SA
467,Marovoay,MG,89.6,few clouds,-16.1,46.63,
