City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Muros,ES,2020-04-04 15:55:31,42.78,-9.06,68.0,49,100,10.0
70,Matara,LK,2020-04-04 15:55:31,5.95,80.54,80.26,81,96,4.41
71,Busselton,AU,2020-04-04 15:55:32,-33.65,115.33,64.0,31,83,12.41
72,Grindavik,IS,2020-04-04 15:55:32,63.84,-22.43,30.2,68,90,28.86
73,Port Blair,IN,2020-04-04 15:55:32,11.67,92.75,82.87,74,0,8.21
74,Shelburne,CA,2020-04-04 15:55:33,44.08,-80.2,53.01,81,75,10.29
75,Belmonte,BR,2020-04-04 15:55:33,-15.86,-38.88,89.6,66,20,10.29
76,Arraial Do Cabo,BR,2020-04-04 15:55:34,-22.97,-42.03,82.4,57,0,24.16
77,Ponta Do Sol,PT,2020-04-04 15:55:34,32.67,-17.1,69.8,73,20,25.28
78,Raahe,FI,2020-04-04 15:54:22,64.68,24.48,32.0,88,23,12.75
79,Shubarshi,KZ,2020-04-04 15:55:35,48.59,57.19,42.44,82,100,17.98
80,Bandarbeyla,SO,2020-04-04 15:55:35,9.49,50.81,82.0,62,41,12.46
81,Castro,BR,2020-04-04 15:55:35,-24.79,-50.01,73.81,26,0,3.94
82,Mizdah,LY,2020-04-04 15:55:36,31.45,12.98,61.52,38,14,18.16
83,Chicama,PE,2020-04-04 15:55:36,-7.84,-79.15,73.4,78,8,4.7
84,Alamor,EC,2020-04-04 15:55:36,-4.02,-80.02,89.6,74,75,5.82
85,San Cristobal,VE,2020-04-04 15:55:37,7.77,-72.22,82.4,78,40,6.93
86,Plettenberg Bay,ZA,2020-04-04 15:55:37,-34.05,23.37,75.92,51,14,5.97
87,Tessalit,ML,2020-04-04 15:55:38,20.2,1.01,101.95,6,0,12.1
88,Jamsa,FI,2020-04-04 15:55:38,61.86,25.19,37.0,43,99,17.22
89,Kilindoni,TZ,2020-04-04 15:55:39,-7.91,39.67,83.43,73,3,11.99
90,Malinovoye Ozero,RU,2020-04-04 15:55:39,51.68,79.78,35.24,80,39,9.82
91,Tiznit,MA,2020-04-04 15:55:39,29.58,-9.5,72.9,29,0,9.17
92,Bayonne,FR,2020-04-04 15:55:40,43.33,-1.42,75.2,31,0,11.41
93,Lebyazhye,RU,2020-04-04 15:55:40,55.27,66.49,40.6,85,89,12.44
94,Salem,IN,2020-04-04 15:53:31,11.65,78.17,85.23,36,0,6.8
95,Belokurikha,RU,2020-04-04 15:50:58,52.0,84.99,36.84,84,100,3.89
96,Morondava,MG,2020-04-04 15:55:41,-20.28,44.28,82.2,73,19,5.59
97,Gelemso,ET,2020-04-04 15:55:41,8.82,40.52,67.46,42,100,9.26
98,Barao De Melgaco,BR,2020-04-04 15:55:42,-16.19,-55.97,84.2,66,75,4.7
99,Chuy,UY,2020-04-04 15:55:42,-33.7,-53.46,70.0,49,15,5.73
100,Mecca,SA,2020-04-04 15:53:18,21.43,39.83,89.53,30,0,7.74
101,Upernavik,GL,2020-04-04 15:55:43,72.79,-56.15,14.54,80,0,14.43
102,Gusau,NG,2020-04-04 15:55:43,12.16,6.66,106.3,12,87,5.79
103,Eydhafushi,MV,2020-04-04 15:55:44,5.1,73.07,84.42,66,100,9.84
104,Brus,RS,2020-04-04 15:55:44,43.38,21.03,59.0,75,100,5.82
105,Brazzaville,CG,2020-04-04 15:55:45,-4.27,15.28,87.8,69,20,9.17
106,Khorramshahr,IR,2020-04-04 15:55:45,30.44,48.17,87.8,19,0,9.17
107,Port-Gentil,GA,2020-04-04 15:55:45,-0.72,8.78,84.2,70,40,6.93
108,Rafai,CF,2020-04-04 15:55:46,4.95,23.92,92.16,37,68,3.51
109,Rosetta,EG,2020-04-04 15:55:46,31.4,30.42,82.4,37,40,14.99
